date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region
2001-08-17,Adair County,Estill County,32,8,0,,0,0
2001-08-17,Allen Central,Betsy Layne,38,0,1,,0,0
2001-08-17,Allen County-Scottsville,Barren County,54,14,1,,0,0
2001-08-17,Ashland Blazer,Johnson Central,38,14,0,,0,0
2001-08-17,Atherton,Shawnee,35,30,0,,0,0
2001-08-17,Bardstown,Dayton,53,0,1,Garnis Martin State Champion Bowl,0,0
2001-08-17,Bourbon County,Lincoln County,40,28,0,Death Valley Bowl,0,0
2001-08-17,Breathitt County,Fleming County,28,20,1,East Kentucky Tobacco Warehouse Bowl,0,0
2001-08-17,Bullitt East,Fern Creek,12,7,0,,0,0
2001-08-17,Butler,Eastern,17,7,0,,0,0
2001-08-17,Calloway County,Trigg County,21,13,0,Integra Bank Bowl,0,0
2001-08-17,Carroll County,Ludlow,42,0,1,,0,0
2001-08-17,Central Hardin,Shelby County,13,7,1,,0,0
2001-08-17,Christian Academy-Louisville,Lexington Christian,64,7,1,,0,0
2001-08-17,Clay County,Montgomery County,34,21,1,Appalachian Bowl,0,0
2001-08-17,Corbin,Conner,28,12,1,,0,0
2001-08-17,Covington Catholic,Boone County,30,11,0,,0,0
2001-08-17,East Carter,Greenup County,20,19,0,,0,0
2001-08-17,Fairdale,Moore,51,6,0,,0,0
2001-08-17,Franklin-Simpson,Russellville,17,14,1,,0,0
2001-08-17,Garrard County,Marion County,42,7,0,,0,0
2001-08-17,Graves County,Muhlenberg South,21,6,1,,0,0
2001-08-17,Grayson County,Edmonson County,41,0,1,,0,0
2001-08-17,Harrodsburg,Western Hills,31,0,0,,0,0
2001-08-17,Henderson County,Union County,33,8,0,,0,0
2001-08-17,Henry Clay,Highlands,33,12,1,,0,0
2001-08-17,Henry County,Grant County,38,35,0,,0,0
2001-08-17,Holmes,Simon Kenton,28,0,1,,0,0
2001-08-17,Holy Cross (Louisville),Holy Cross (Covington),32,0,1,Logan's Roadhouse Bowl,0,0
2001-08-17,Hopkins County Central,Madisonville-North Hopkins,28,20,1,,0,0
2001-08-17,Jenkins,Knott County Central,14,6,1,,0,0
2001-08-17,Leslie County,Williamsburg,39,14,0,,0,0
2001-08-17,Madison Central,Bryan Station,33,12,0,,0,0
2001-08-17,Male,Hopkinsville,41,35,2,Integra Bank Bowl,0,0
2001-08-17,Mason County,Tates Creek,20,14,1,(overtime),1,0
2001-08-17,McLean County,Todd County Central,22,14,1,,0,0
2001-08-17,Meade County,Christian County,38,0,1,,0,0
2001-08-17,Mercer County,Scott,34,20,0,,0,0
2001-08-17,Newport Central Catholic,Lloyd Memorial,36,21,0,,0,0
2001-08-17,Nicholas County,Bath County,54,12,1,,0,0
2001-08-17,North Laurel,Knox Central,23,13,2,Cumberland Valley Bowl,0,0
2001-08-17,Ohio County,Hancock County,10,9,1,,0,0
2001-08-17,Owensboro,Daviess County,37,6,1,,0,0
2001-08-17,Paintsville,West Carter,39,26,2,Big Sandy Bowl,0,0
