name,region,id,rating,massey,colley,elo,wins,losses,games_played
Trinity (Louisville),6,206,104.09,110.3,101.51,100.45,14,0,8
Bowling Green,5,23,98.16,95.27,101.38,97.83,15,0,15
Highlands,4,99,97.03,91.7,96.64,102.76,15,0,14
John Hardin,5,109,88.25,87.13,88.87,88.75,13,1,14
Scott County,6,185,83.15,84.79,81.32,83.33,14,1,15
Warren Central,5,211,83.04,84.73,87.2,77.2,11,2,12
Covington Catholic,4,51,82.43,84.93,85.79,76.58,10,3,12
Mayfield,1,136,80.5,72.29,82.56,86.64,14,1,14
St. Xavier,6,200,80.03,84.91,76.48,78.69,8,5,10
Lexington Catholic,4,120,79.95,78.39,83.12,78.33,11,3,14
Central,3,41,79.06,77.29,78.6,81.27,12,3,14
Holy Cross (Covington),2,101,77.55,75.31,79.17,78.18,12,3,15
DuPont Manual,6,59,77.12,78.84,81.05,71.48,9,3,12
Boyle County,4,25,77.02,79.42,73.14,78.51,9,4,12
Belfry,3,14,76.84,72.6,78.68,79.26,13,2,15
Franklin-Simpson,4,76,76.72,71.68,80.13,78.33,13,2,14
Bell County,3,15,76.7,73.44,76.37,80.29,11,2,13
Glasgow,2,82,76.28,71.37,80.37,77.11,14,1,15
Newport Central Catholic,2,151,75.17,76.16,76.65,72.7,11,2,12
Beechwood,1,13,74.96,74.29,75.29,75.32,12,2,14
Christian County,5,44,74.86,72.56,78.25,73.77,10,2,11
Hazard,1,94,74.84,67.39,73.75,83.37,12,2,13
Anderson County,5,4,74.7,74.08,76.47,73.55,12,3,15
Franklin County,5,75,73.7,75.94,78.34,66.83,11,1,12
Harlan County,5,91,73.12,75.92,73.21,70.22,11,2,10
Butler,6,32,72.83,76.25,72.21,70.01,11,3,14
Paducah Tilghman,3,162,72.57,73.11,73.78,70.83,10,3,11
Breathitt County,3,27,72.18,68.1,74,74.43,12,1,13
Boone County,6,21,72.04,78.25,72.74,65.12,9,5,14
Ashland Blazer,4,6,71.85,74.03,74.74,66.78,9,3,10
Ryle,6,183,71.45,75.05,70.23,69.08,7,5,10
Owensboro Catholic,2,161,71.04,65.83,73.3,73.98,12,1,12
Henderson County,6,96,70.36,73.17,70.21,67.68,9,4,11
Johnson Central,4,110,70.31,71.36,69.17,70.41,9,3,10
Eastern,6,63,68.9,70.74,70.96,64.99,10,3,12
Southwestern,5,198,68.16,66.56,68.3,69.62,10,4,14
Garrard County,3,80,68.13,67.42,72.8,64.16,12,2,14
Somerset,2,192,67.91,66.7,67.75,69.28,9,5,14
Murray,2,148,67.64,56.4,70.17,76.33,12,2,13
Jeffersontown,5,107,67.07,70.51,67.49,63.22,10,3,13
Collins,4,47,66.9,69.31,65.52,65.86,11,3,14
Lone Oak,4,125,66.9,65.87,65.3,69.53,10,3,13
Perry County Central,5,167,66.79,65.21,71.26,63.9,9,3,12
Danville,2,53,66.6,66.8,69.86,63.14,8,4,12
Fort Campbell,3,72,66.47,65.63,66.57,67.2,9,5,13
Russell County,4,181,66.38,71.49,67.18,60.46,9,2,11
Madisonville-North Hopkins,4,130,65.75,70.97,65.22,61.06,9,3,12
Fairview,1,69,65.73,61.56,68.03,67.6,12,1,12
Pleasure Ridge Park,6,172,65.52,68.79,67.09,60.69,9,3,12
Owen County,2,159,65.19,60.62,79.37,55.57,11,1,12
Rockcastle County,4,178,64.63,70.44,65.05,58.4,9,3,12
Holy Cross (Louisville),1,102,64.48,63.89,64.94,64.6,11,2,11
Edmonson County,3,64,64.13,61.64,67.1,63.65,11,1,12
Lafayette,6,115,63.89,65.53,64.64,61.49,9,4,13
North Bullitt,5,153,63.88,65.03,64.79,61.83,10,2,12
Pikeville,1,170,63.74,55.74,69.69,65.8,11,3,12
Conner,5,48,62.65,73.38,61.18,53.38,7,6,13
Male,6,132,62.3,69.93,58.53,58.44,4,8,11
Bardstown,2,10,61.55,63.47,64.64,56.55,10,2,12
Knox Central,4,113,61.37,70.87,55.3,57.94,6,4,8
Rowan County,4,179,60.47,56.62,65.78,59.02,8,3,11
Pike County Central,3,169,59.78,60.68,58.91,59.75,8,3,11
Christian Academy-Louisville,2,43,59.46,56.11,62.37,59.88,8,5,11
Green County,2,86,59.45,59.68,61,57.67,7,4,10
Greenwood,5,88,58.98,60.59,61.78,54.56,6,6,12
Bryan Station,6,29,58.2,67.07,58.7,48.83,7,5,12
North Oldham,4,156,57.91,64.78,56.6,52.35,9,3,12
Ballard,6,8,57.85,62.06,53.94,57.57,5,7,11
Cooper,5,49,57.67,68.36,56.92,47.73,6,5,11
Ohio County,5,157,56.98,58.38,62.62,49.94,9,2,11
Corbin,3,50,56.95,52.59,57.51,60.76,7,5,11
Lexington Christian,2,121,56.51,52.85,56.88,59.79,6,7,10
Wayne County,3,214,56.14,52.99,59.47,55.95,9,3,12
North Hardin,5,154,55.79,64.55,54.06,48.77,6,6,12
Montgomery County,5,144,55.7,62.86,53.52,50.72,6,6,12
Leslie County,2,117,54.59,48.76,61.24,53.78,9,3,12
Meade County,6,139,54.55,68.26,51.04,44.34,4,7,11
Central Hardin,6,42,54.41,59.17,53.72,50.35,6,5,11
Allen County-Scottsville,4,3,54.39,60.43,50.23,52.53,4,7,10
Powell County,3,173,54.39,56.59,62.05,44.53,8,5,13
DeSales,2,56,53.93,57.85,53.88,50.08,6,6,12
Western,4,218,53.77,54.73,51.83,54.75,7,6,13
Bourbon County,3,22,53.66,57.62,58.5,44.86,8,4,12
Walton-Verona,2,210,53.4,52.43,59.55,48.21,8,3,11
Williamsburg,1,221,53.31,45.44,59.24,55.26,9,4,10
Monroe County,3,143,53.16,57.58,53.76,48.15,6,6,12
South Oldham,5,195,52.93,63.51,50.97,44.31,6,5,11
Butler County,2,33,52.55,54.54,56.93,46.17,8,4,12
Carroll County,2,38,51.73,43.82,64.23,47.12,8,3,11
Campbell County,6,36,51.59,60.38,48.2,46.18,4,8,11
Madison Central,6,128,51.53,63.9,50.69,39.99,5,6,11
Prestonsburg,2,174,51.19,54.3,49.95,49.31,5,6,11
Owensboro,4,160,51.13,57.72,47.92,47.75,5,7,12
Russell,3,180,51.1,51.8,52.42,49.09,7,5,11
Warren East,4,212,51.07,58.49,52.85,41.86,7,4,11
Holmes,4,100,50.74,57.61,49.67,44.93,4,7,11
Woodford County,5,222,50.74,59.77,52.45,39.99,6,4,10
Graves County,5,84,50.05,59.87,45.51,44.79,4,7,11
Dixie Heights,6,57,50.02,59.68,47.81,42.57,3,8,11
Trigg County,3,204,49.71,47.22,54.19,47.72,7,4,11
Hancock County,2,89,49.67,48.56,50.1,50.35,7,5,12
Lewis County,3,119,49.34,44.27,57.33,46.41,8,3,11
Kentucky Country Day,1,111,49.2,50.32,50.71,46.56,9,3,12
Raceland,1,176,49.16,50.79,47.74,48.96,6,6,11
Frankfort,1,74,48.99,47.57,50.64,48.75,7,6,13
LaRue County,3,114,48.55,51.75,48.05,45.85,6,5,11
Henry Clay,6,97,48.36,59.78,42.28,43.03,3,8,11
Barren County,5,11,47.83,54.84,52.54,36.11,5,6,11
Simon Kenton,6,191,47.67,58.52,40.66,43.82,2,9,10
Caldwell County,2,34,47.53,50.72,46.56,45.3,5,6,11
East Jessamine,5,61,46.88,55.83,44.68,40.13,5,6,11
Bellevue,1,16,46.76,45.19,53.04,42.06,7,5,12
Mercer County,4,140,46.54,54.82,46.73,38.07,5,7,12
Morgan County,3,146,45.95,47.54,48.69,41.62,8,3,11
Letcher County Central,5,118,45.79,56.7,42.47,38.2,4,7,11
Lincoln County,5,122,45.67,51.05,45.52,40.44,5,7,12
Marshall County,6,134,44.87,49.21,45.68,39.71,6,5,11
Lawrence County,3,116,44.85,45,43.08,46.49,5,7,12
Western Hills,3,219,44.76,48.27,49.95,36.05,5,6,11
Washington County,2,213,44.75,50.27,43.48,40.51,5,6,11
Grayson County,5,85,44.74,49.68,41.86,42.69,5,6,11
George Rogers Clark,6,81,44.69,57.68,40.42,35.97,3,8,11
Lloyd Memorial,2,123,43.77,46,49.2,36.13,5,7,12
Fern Creek,6,70,43.61,51.48,40.38,38.96,4,7,11
Campbellsville,1,37,43.55,45.47,43.91,41.26,7,5,12
