date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,win_id,lose_id
2016-08-19,Adair County,Taylor County,38,28,0,,0,0,1,200
2016-08-19,Allen Central,Phelps,28,8,0,,0,0,2,167
2016-08-19,Ballard,Oldham County,36,7,0,,0,0,8,157
2016-08-19,Bell County,Middlesboro,34,18,0,,0,0,15,141
2016-08-19,Betsy Layne,South Floyd,14,6,1,(overtime),1,0,19,191
2016-08-19,Bishop Brossart,Dayton,40,6,0,,0,0,20,55
2016-08-19,Boyd County,Lawrence County,24,20,1,,0,0,24,115
2016-08-19,Bullitt Central,Henry County,14,0,2,,0,0,30,97
2016-08-19,Butler,Meade County,20,13,1,,0,0,32,138
2016-08-19,Butler County,Logan County,53,14,0,,0,0,33,123
2016-08-19,Calloway County,Ohio County,22,0,1,,0,0,35,156
2016-08-19,Casey County,Powell County,37,0,0,,0,0,39,172
2016-08-19,Corbin,Whitley County,42,6,1,,0,0,50,219
2016-08-19,Crittenden County,Todd County Central,28,14,0,,0,0,52,202
2016-08-19,Danville,LaRue County,47,13,0,,0,0,53,113
2016-08-19,Daviess County,Allen County-Scottsville,20,12,1,,0,0,54,3
2016-08-19,DeSales,Fairdale,30,0,1,,0,0,56,68
2016-08-19,Doss,Jeffersontown,40,0,1,,0,0,58,106
2016-08-19,DuPont Manual,Central,21,20,0,,0,0,59,41
2016-08-19,East Jessamine,Elizabethtown,20,15,2,,0,0,61,65
2016-08-19,Eastern,Bullitt East,36,32,0,,0,0,63,31
2016-08-19,Edmonson County,Caverna,46,8,0,,0,0,64,40
2016-08-19,Eminence,Trimble County,36,0,1,,0,0,66,204
2016-08-19,Fairview,Bath County,46,6,0,,0,0,69,12
2016-08-19,Fern Creek,Seneca,33,0,0,,0,0,70,184
2016-08-19,Fleming County,Estill County,49,7,1,,0,0,71,67
2016-08-19,Gallatin County,Bellevue,30,6,0,,0,0,79,16
2016-08-19,Garrard County,Shelby County,41,31,1,,0,0,80,186
2016-08-19,Glasgow,Campbellsville,60,14,1,,0,0,82,37
2016-08-19,Grant County,Carroll County,28,12,0,,0,0,83,38
2016-08-19,Greenup County,Lewis County,56,12,0,,0,0,87,118
2016-08-19,Greenwood,Warren East,39,7,1,,0,0,88,211
2016-08-19,Hancock County,Grayson County,42,8,0,,0,0,89,85
2016-08-19,Hazard,Pineville,42,21,0,,0,0,94,170
2016-08-19,Highlands,Cooper,52,42,1,,0,0,98,49
2016-08-19,Holy Cross (Covington),Holmes,42,7,1,,0,0,100,99
2016-08-19,Hopkins County Central,Webster County,22,14,0,,0,0,102,214
2016-08-19,Jackson County,Berea,52,0,1,,0,0,105,17
2016-08-19,Kentucky Country Day,Atherton,44,29,1,,0,0,110,7
2016-08-19,Lafayette,Paul Laurence Dunbar,50,14,1,,0,0,114,164
2016-08-19,Leslie County,Magoffin County,42,0,0,,0,0,116,129
2016-08-19,Letcher County Central,Pike County Central,28,20,1,,0,0,117,168
2016-08-19,Lexington Catholic,Boone County,41,18,1,,0,0,119,21
2016-08-19,Lexington Christian,Williamsburg,32,22,0,,0,0,120,220
2016-08-19,Lloyd Memorial,Walton-Verona,38,0,2,,0,0,122,209
2016-08-19,Ludlow,Newport,42,0,0,,0,0,124,149
2016-08-19,Madison Southern,Lincoln County,21,14,0,,0,0,127,121
2016-08-19,Mayfield,Fort Campbell,56,0,1,,0,0,134,72
2016-08-19,McCreary Central,Jenkins,55,8,1,,0,0,136,107
2016-08-19,McLean County,Breckinridge County,28,6,0,,0,0,137,28
2016-08-19,Metcalfe County,Barren County,34,13,2,,0,0,140,11
2016-08-19,Moore,Southern,16,11,1,,0,0,144,195
2016-08-19,Muhlenberg County,Apollo,42,36,1,,0,0,146,5
2016-08-19,Nicholas County,Bethlehem,14,0,0,,0,0,151,18
2016-08-19,North Bullitt,Woodford County,20,0,1,,0,0,152,221
