date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime
2012-08-17,Ashland Blazer,Lawrence County,51,20,1,,0
2012-08-17,Ballard Memorial,Heath,26,20,1,,0
2012-08-17,Bethlehem,Washington County,30,27,0,,0
2012-08-17,Bourbon County,Middlesboro,34,0,0,,0
2012-08-17,Bryan Station,Anderson County,41,34,0,,0
2012-08-17,Bullitt East,Doss,49,21,1,,0
2012-08-17,Butler County,Logan County,27,13,0,,0
2012-08-17,Calloway County,Caldwell County,34,31,0,,0
2012-08-17,Central,DuPont Manual,29,7,1,,0
2012-08-17,Christian County,Madisonville-North Hopkins,42,28,1,,0
2012-08-17,Cooper,Ryle,35,6,1,,0
2012-08-17,Fleming County,Bath County,33,6,1,,0
2012-08-17,Frankfort,Newport,30,9,1,,0
2012-08-17,Franklin County,Nelson County,62,41,0,,0
2012-08-17,Gallatin County,Ludlow,44,22,1,,0
2012-08-17,Garrard County,Clay County,15,14,1,,0
2012-08-17,Harlan,Pikeville,41,21,1,,0
2012-08-17,Hart County,Breckinridge County,45,6,1,,0
2012-08-17,Highlands,Boyle County,52,31,1,,0
2012-08-17,John Hardin,Henry Clay,44,27,0,,0
2012-08-17,Lafayette,Mason County,55,6,1,,0
2012-08-17,Lexington Catholic,Bell County,21,7,1,,0
2012-08-17,Lexington Christian,Christian Academy-Louisville,13,12,1,,0
2012-08-17,Lloyd Memorial,Owen County,25,21,1,,0
2012-08-17,North Laurel,Pineville,42,20,0,,0
2012-08-17,Ohio County,Muhlenberg County,41,13,1,,0
2012-08-17,Owensboro,Daviess County,28,0,1,,0
2012-08-17,Prestonsburg,Perry County Central,27,24,1,,0
2012-08-17,Raceland,East Carter,38,6,0,,0
2012-08-17,Scott County,Seneca,46,14,1,,0
2012-08-17,South Oldham,Bullitt Central,41,35,0,,0
2012-08-17,Tates Creek,West Jessamine,28,9,0,,0
2012-08-17,Walton-Verona,Bellevue,21,6,1,,0
2012-08-17,Warren Central,Mayfield,42,28,1,,0
2012-08-17,Woodford County,Western Hills,49,13,1,,0
2012-08-18,Bracken County,Betsy Layne,26,6,1,,0
2012-08-18,Montgomery County,Rowan County,25,16,1,,0
2012-08-18,Paducah Tilghman,Lone Oak,28,12,0,,0
2012-08-18,Sheldon Clark,Harrison County,28,13,0,,0
2012-08-24,Ashland Blazer,Raceland,42,19,1,,0
2012-08-24,Ballard Memorial,Fulton City,35,0,1,,0
2012-08-24,Bath County,West Carter,34,14,0,,0
2012-08-24,Bell County,Bryan Station,32,31,0,(overtime),1
2012-08-24,Bellevue,Newport,46,21,1,,0
2012-08-24,Betsy Layne,South Floyd,48,28,1,,0
2012-08-24,Bourbon County,Madison Southern,48,27,1,,0
2012-08-24,Butler County,Breckinridge County,33,10,0,,0
2012-08-24,Carroll County,Lewis County,33,27,0,(overtime),1
2012-08-24,Conner,Boone County,31,19,0,,0
2012-08-24,DeSales,Elizabethtown,63,14,0,,0
2012-08-24,Doss,Seneca,28,17,0,,0
2012-08-24,Edmonson County,Muhlenberg County,47,14,0,,0
2012-08-24,Fleming County,Nicholas County,53,14,1,,0
2012-08-24,Frankfort,Rockcastle County,42,27,0,,0
2012-08-24,Franklin County,Western Hills,63,0,0,,0
2012-08-24,Glasgow,Bullitt Central,28,7,1,,0
2012-08-24,Hancock County,Ohio County,41,6,1,,0
2012-08-24,Highlands,Scott County,60,37,1,,0
2012-08-24,Jeffersontown,Bullitt East,28,27,1,,0
2012-08-24,Kentucky Country Day,Atherton,45,7,1,,0
2012-08-24,Male,Butler,14,8,0,,0
2012-08-24,Monroe County,Metcalfe County,48,21,0,,0
2012-08-24,Montgomery County,Mason County,21,14,0,,0
2012-08-24,Owensboro Catholic,Daviess County,28,14,0,,0
2012-08-24,Pleasure Ridge Park,Valley,61,0,1,,0
2012-08-24,Prestonsburg,Sheldon Clark,48,40,1,,0
2012-08-24,Reidland,Heath,37,35,1,,0
2012-08-24,Russell County,Whitley County,49,20,0,,0
2012-08-24,Shelby County,LaRue County,28,0,1,,0
2012-08-24,Somerset,Southwestern,48,2,1,,0
2012-08-24,South Warren,Logan County,36,0,1,,0
2012-08-24,Spencer County,East Jessamine,17,7,0,,0
2012-08-24,Taylor County,Casey County,46,18,1,,0
2012-08-24,Trigg County,Todd County Central,48,14,1,(corrected score),0
2012-08-24,Warren East,Barren County,32,0,0,,0
2012-08-24,Williamsburg,Harlan,36,0,1,,0
2012-08-24,Woodford County,Nelson County,42,27,1,,0
2012-08-25,Boyle County,Collins,49,26,1,,0
2012-08-25,Crittenden County,Hopkins County Central,21,6,1,,0
2012-08-25,Greenwood,North Hardin,56,33,0,,0
2012-08-25,Lexington Christian,Corbin,21,14,0,,0
2012-08-25,Mayfield,Madisonville-North Hopkins,63,21,1,,0
2012-08-25,Owen County,Grant County,44,14,0,,0
2012-08-30,Lone Oak,Marshall County,52,7,0,,0
2012-08-31,Allen County-Scottsville,South Warren,15,8,1,,0
2012-08-31,Anderson County,Shelby County,35,34,0,,0
2012-08-31,Bath County,Lewis County,20,18,1,,0
2012-08-31,Bell County,Middlesboro,50,6,1,,0
2012-08-31,Bethlehem,Berea,30,18,1,,0
2012-08-31,Bourbon County,Owen County,50,21,0,,0
2012-08-31,Bowling Green,St. Xavier,38,31,1,,0
2012-08-31,Bracken County,Bishop Brossart,13,12,1,,0
2012-08-31,Breathitt County,Newport,65,29,1,,0
2012-08-31,Bryan Station,West Jessamine,55,20,1,,0
2012-08-31,Butler,Eastern,33,30,0,,0
2012-08-31,Caldwell County,Ohio County,56,20,1,,0
2012-08-31,Campbell County,Newport Central Catholic,42,16,1,,0
2012-08-31,Carroll County,Ludlow,31,6,0,,0
2012-08-31,Central,DeSales,27,14,0,,0
2012-08-31,Central Hardin,Elizabethtown,51,20,0,,0
2012-08-31,Clay County,Perry County Central,28,19,1,,0
2012-08-31,Conner,Holy Cross (Covington),67,21,1,,0
2012-08-31,Cooper,Boone County,10,0,1,,0
2012-08-31,Gallatin County,Bellevue,52,16,0,,0
2012-08-31,Garrard County,Lloyd Memorial,35,14,1,,0
2012-08-31,Glasgow,Barren County,28,8,1,,0
2012-08-31,Grant County,Western Hills,44,20,0,,0
2012-08-31,Hancock County,Muhlenberg County,53,6,1,,0
2012-08-31,Henderson County,Christian County,37,36,0,(double overtime),0
2012-08-31,Henry Clay,Belfry,40,20,0,,0
2012-08-31,Jeffersontown,Moore,47,26,0,,0
2012-08-31,LaRue County,Spencer County,14,12,1,,0
2012-08-31,Lawrence County,Prestonsburg,42,41,1,,0
2012-08-31,Lexington Catholic,Lafayette,42,7,1,,0
2012-08-31,Lexington Christian,Harlan,28,25,0,,0
2012-08-31,Madison Central,Mercer County,19,13,1,(double overtime),0
2012-08-31,Mayfield,Paducah Tilghman,42,21,1,,0
2012-08-31,Metcalfe County,Hart County,33,18,0,,0
2012-08-31,Murray,Graves County,10,7,0,,0
2012-08-31,Nelson County,Marion County,59,38,0,,0
2012-08-31,Nicholas County,West Carter,33,22,1,,0
2012-08-31,North Hardin,Madisonville-North Hopkins,21,15,1,,0
2012-08-31,North Oldham,Christian Academy-Louisville,17,14,0,(overtime),1
2012-08-31,Owensboro Catholic,Owensboro,20,7,1,,0
2012-08-31,Pike County Central,Powell County,45,27,1,,0
2012-08-31,Pleasure Ridge Park,Doss,56,16,1,,0
2012-08-31,Raceland,Pikeville,54,14,1,,0
2012-08-31,Rowan County,Mason County,33,19,1,,0
2012-08-31,Scott County,Harrison County,61,6,1,,0
2012-08-31,Simon Kenton,Pulaski County,50,7,1,,0
2012-08-31,South Floyd,Jenkins,50,36,1,,0
2012-08-31,South Oldham,North Bullitt,26,6,0,,0
2012-08-31,Tates Creek,Corbin,21,14,1,,0
2012-08-31,Todd County Central,Logan County,27,16,0,,0
