name,region,id,rating,massey,colley,elo,wins,losses,games_played
Kentucky Country Day,NaN,215,27.96,22.35,30.16,31.37,5,7,12
Clay County,4,190,27.79,34.06,27.15,22.15,3,7,10
Trigg County,1,86,27.4,31.53,27.6,23.08,3,7,10
West Carter,3,41,26.52,27.95,29.04,22.57,3,7,10
Caldwell County,1,92,25.92,25.49,17.5,34.77,2,8,10
McCreary Central,2,137,25.88,27.91,27.17,22.56,4,6,10
Lloyd Memorial,3,50,25.55,34.72,25.04,16.88,1,9,10
Paris,3,48,25.25,32.78,19.43,23.55,2,9,11
Holy Cross (Covington),3,43,24.71,30.02,28.39,15.71,2,7,7
Lewis County,NaN,211,24.55,29.03,22.41,22.2,4,6,9
Hart County,1,89,24.52,31.58,24.95,17.04,3,8,11
Fort Knox,2,147,24.5,31.33,22.87,19.31,2,8,10
Ohio County,1,84,24.1,31.53,24.35,16.41,3,7,10
Lone Oak,1,94,23.65,29.41,20.91,20.64,2,8,10
Allen Central,NaN,212,23.61,19.41,23.11,28.3,3,6,9
Doss,2,154,23.24,33.17,21.93,14.6,1,9,10
Edmonson County,1,95,22.97,23.63,17.72,27.57,2,8,10
Fairview,3,53,22.27,20.33,21.23,25.26,4,6,10
Pulaski County,2,146,21.85,25.52,16.03,23.99,2,8,10
North Laurel,4,199,21.53,29.55,19.33,15.71,1,9,10
Bullitt Central,2,150,21.27,26.97,17.37,19.47,1,9,10
Elkhorn City,4,191,21.23,14.11,24.45,25.13,3,7,10
Jeffersontown,3,49,20.91,32.56,19.72,10.43,1,9,10
Owen County,3,52,20.86,21.78,24.87,15.94,1,9,10
Woodford County,4,201,20.69,34.14,16.94,10.99,0,10,10
Rowan County,4,202,20.53,29.59,17.3,14.69,0,10,10
Grayson County,1,90,19.81,25.22,18.39,15.81,2,8,10
East Carter,4,198,19.55,26.92,14.32,17.4,1,9,10
Atherton,2,144,19.11,25.59,15.64,16.1,2,8,10
Knott County Central,4,200,19.1,29.61,16.4,11.3,1,9,10
Fulton City,1,96,17.16,25.5,14.44,11.53,2,8,7
Warren East,1,101,16.76,30.28,13.79,6.2,0,10,10
Phelps,4,197,16.75,12.39,13.49,24.37,1,8,8
Morgan County,4,195,15.6,15.29,18.37,13.15,2,8,10
Madison Southern,2,148,15.4,22.05,15.05,9.1,2,8,10
Reidland,1,93,14.28,22.18,8.58,12.07,2,8,10
Butler County,1,98,14,16.99,11.32,13.68,1,9,10
North Bullitt,2,149,13.04,23.62,7.05,8.46,1,9,10
Fort Campbell,1,100,13.02,21.91,9.5,7.66,1,9,9
Knox Central,4,205,12.75,23.66,8.89,5.7,0,10,10
Western,2,151,12.44,18.47,11.62,7.22,1,9,10
Caverna,NaN,207,11.61,11.39,10.67,12.76,2,9,11
Adair County,2,152,11.58,19.14,6.11,9.48,1,9,10
Shawnee,2,153,11.51,23.03,8.88,2.61,1,9,10
Metcalfe County,2,156,10.68,18.11,7.61,6.33,0,10,9
Cumberland,4,203,9.57,11.39,8.08,9.25,0,10,9
Beth Haven,NaN,217,8.39,0.62,5.15,19.39,0,6,6
Christian Academy-Louisville,2,155,7.32,9.47,6.64,5.85,0,9,9
Millersburg Military,3,51,6.45,10.13,0.61,8.62,1,9,9
Jenkins,NaN,216,4.21,7.14,1.13,4.37,0,8,8
Betsy Layne,4,204,4,10.24,1.14,0.63,0,10,10
