date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,lose_id,win_id
1998-08-21,Anderson County,Western Hills,24,12,1,,0,0,135,171
1998-08-21,Ashland Blazer,Belfry,19,14,2,,0,0,17,112
1998-08-21,Edmonson County,Casey County,48,0,1,,0,0,197,62
1998-08-21,Eminence,Carroll County,14,6,0,,0,0,182,198
1998-08-21,Fern Creek,North Hardin,29,18,0,,0,0,67,153
1998-08-21,Garrard County,Newport Central Catholic,24,14,2,,0,0,141,134
1998-08-21,Holy Cross (Louisville),Bellevue,14,7,0,,0,0,128,152
1998-08-21,Hopkins County Central,Webster County,33,0,1,,0,0,79,76
1998-08-21,Johnson Central,Cumberland,42,0,1,,0,0,37,23
1998-08-21,Lewis County,Fairview,28,6,1,,0,0,200,199
1998-08-21,Marion County,Lincoln County,33,13,2,,0,0,161,180
1998-08-21,Marshall County,Paducah Tilghman,12,7,1,,0,0,65,59
1998-08-21,Mercer County,Leslie County,29,18,1,,0,0,47,124
1998-08-21,Middlesboro,Breathitt County,46,24,2,,0,0,4,2
1998-08-21,Owensboro,Ohio County,56,0,2,,0,0,98,71
1998-08-21,Paris,Williamsburg,34,8,1,,0,0,42,160
1998-08-21,Phelps,South Floyd,57,34,2,District Game,0,0,30,18
1998-08-21,Pike County Central,Elkhorn City,41,6,1,,0,0,43,24
1998-08-21,Pikeville,Estill County,55,6,1,,0,0,145,7
1998-08-21,Powell County,Allen Central,22,12,0,,0,0,201,27
1998-08-21,Russell County,Holy Cross (Covington),56,6,1,,0,0,202,168
1998-08-21,Shelby Valley,Magoffin County,20,0,2,,0,0,139,33
1998-08-21,St. Xavier,Shelby County,42,7,2,,0,0,85,157
1998-08-22,Bell County,Paul Laurence Dunbar,7,3,2,,0,0,32,5
1998-08-22,Beth Haven,Christian Academy-Louisville,32,0,2,,0,0,204,203
1998-08-22,Bethlehem,Morgan County,31,6,1,,0,0,206,205
1998-08-22,Bowling Green,Glasgow,48,14,2,,0,0,155,57
1998-08-22,Cawood,Betsy Layne,49,6,1,District Game,0,0,50,13
1998-08-22,Corbin,Montgomery County,55,6,2,,0,0,159,108
1998-08-22,Danville,Southwestern,75,6,2,,0,0,21,101
1998-08-22,East Jessamine,Clay County,22,14,2,,0,0,46,131
1998-08-22,Fleming-Neon,Pineville,42,28,2,,0,0,36,26
1998-08-22,Grant County,McCreary Central,40,28,2,,0,0,51,189
1998-08-22,Lexington Catholic,Rockcastle County,34,3,2,,0,0,118,103
1998-08-22,Tates Creek,Oldham County,28,7,2,,0,0,149,1
1998-08-22,Warren Central,Harrison County,27,7,2,,0,0,165,72
1998-08-22,Whitesburg,Evarts,55,24,2,,0,0,54,38
1998-08-22,Whitley County,Sheldon Clark,42,24,2,,0,0,12,14
1998-08-27,Fern Creek,Central,32,18,1,,0,0,122,153
1998-08-28,Allen Central,Betsy Layne,31,18,0,,0,0,50,201
1998-08-28,Allen County-Scottsville,Butler County,21,6,1,,0,0,87,178
1998-08-28,Ballard,Dixie Heights,21,14,1,,0,0,114,111
1998-08-28,Bardstown,Marion County,10,0,0,,0,0,180,170
1998-08-28,Barren County,Glasgow,23,22,0,Overtime,1,0,155,75
1998-08-28,Bell County,Leslie County,46,0,1,,0,0,47,5
1998-08-28,Bellevue,Dayton,21,13,0,,0,0,121,128
1998-08-28,Breckinridge County,Ohio County,14,7,1,,0,0,98,207
1998-08-28,Bryan Station,Paul Laurence Dunbar,47,14,1,,0,0,32,22
1998-08-28,Bullitt East,Bullitt Central,35,21,0,,0,0,174,151
1998-08-28,Caldwell County,Russellville,20,13,1,,0,0,80,55
1998-08-28,Calloway County,Graves County,21,14,1,,0,0,91,81
1998-08-28,Campbellsville,Washington County,14,6,0,,0,0,185,146
1998-08-28,Carroll County,Kentucky Country Day,26,14,1,,0,0,208,182
1998-08-28,Cawood,Harlan,42,0,0,,0,0,29,13
1998-08-28,Central Hardin,Elizabethtown,17,14,0,,0,0,173,69
1998-08-28,Christian County,Trigg County,62,0,0,,0,0,95,78
1998-08-28,Corbin,Lynn Camp,60,20,2,,0,0,16,108
1998-08-28,Covington Catholic,Boone County,26,14,1,,0,0,48,110
1998-08-28,Crittenden County,Heath,26,7,0,,0,0,89,60
1998-08-28,Cumberland,Elkhorn City,26,6,1,,0,0,43,37
1998-08-28,Danville,Harrodsburg,35,0,1,,0,0,156,101
1998-08-28,DuPont Manual,Moore,37,12,0,,0,0,193,167
1998-08-28,East Carter,Boyd County,24,0,0,,0,0,209,31
1998-08-28,East Jessamine,Hazard,12,6,2,,0,0,15,131
1998-08-28,Eastern,Butler,14,6,1,,0,0,172,129
1998-08-28,Edmonson County,Metcalfe County,42,0,0,,0,0,191,62
1998-08-28,Fleming County,Nicholas County,28,8,1,,0,0,136,44
1998-08-28,Fleming-Neon,Holy Cross (Covington),60,0,1,,0,0,202,26
1998-08-28,Fort Knox,Fort Campbell,21,0,0,,0,0,97,188
1998-08-28,Frankfort,Trimble County,29,16,1,,0,0,210,190
1998-08-28,Franklin County,West Jessamine,14,7,1,,0,0,130,175
1998-08-28,Franklin-Simpson,Meade County,35,7,1,,0,0,94,163
1998-08-28,Fulton County,Murray,26,14,0,District Game,0,0,68,66
1998-08-28,Greenup County,Russell,28,27,1,,0,0,20,107
1998-08-28,Hancock County,Webster County,35,0,0,,0,0,79,63
1998-08-28,Hart County,Green County,15,13,0,,0,0,183,187
1998-08-28,Iroquois,Western,27,6,1,,0,0,195,142
1998-08-28,Johnson Central,Raceland,19,8,0,,0,0,113,23
1998-08-28,Knox Central,Williamsburg,20,16,1,,0,0,42,40
1998-08-28,LaRue County,Monroe County,30,12,1,,0,0,181,150
1998-08-28,Lincoln County,Garrard County,20,7,0,,0,0,134,161
1998-08-28,Lloyd Memorial,Scott,14,12,0,,0,0,137,41
1998-08-28,Logan County,Greenwood,41,28,0,,0,0,90,64
1998-08-28,Lone Oak,Reidland,22,0,0,,0,0,92,82
1998-08-28,Madison Central,George Rogers Clark,42,14,1,,0,0,53,10
1998-08-28,Madisonville-North Hopkins,Hopkins County Central,35,8,1,District Game,0,0,76,84
1998-08-28,Magoffin County,Morgan County,28,0,1,,0,0,206,139
1998-08-28,Mayfield,Marshall County,17,7,1,,0,0,59,56
1998-08-28,Middlesboro,North Laurel,52,0,0,,0,0,45,2
1998-08-28,Muhlenberg North,McLean County,9,6,0,,0,0,99,211
1998-08-28,Muhlenberg South,Grayson County,25,12,1,,0,0,212,74
1998-08-28,Nelson County,Lafayette,48,0,1,,0,0,39,58
1998-08-28,Newport,Newport Central Catholic,13,12,1,,0,0,141,6
1998-08-28,North Hardin,Shawnee,72,7,0,,0,0,196,67
1998-08-28,Owen County,Estill County,44,21,1,,0,0,145,177
1998-08-28,Owensboro Catholic,Owensboro,12,7,1,,0,0,71,213
1998-08-28,Paintsville,South Floyd,38,22,0,,0,0,30,105
1998-08-28,Paris,Eminence,20,12,0,,0,0,198,160
1998-08-28,Perry County Central,Evarts,57,6,1,,0,0,54,25
1998-08-28,Pike County Central,Lewis County,26,6,0,,0,0,199,24
1998-08-28,Pleasure Ridge Park,Fairdale,14,0,1,,0,0,125,154
1998-08-28,Powell County,Berea,24,0,1,,0,0,138,27
1998-08-28,Rowan County,Mason County,34,29,1,,0,0,35,119
