name,region,id,rating,massey,colley,elo,wins,losses,games_played
Highlands,3,99,98.49,98.97,98.98,97.51,14,1,14
Male,4,153,95.57,96.69,96.09,93.91,14,1,15
Boyle County,2,46,93.59,87.38,96.09,97.3,15,0,15
St. Xavier,4,154,89.49,94.7,90.54,83.23,11,2,13
Trinity (Louisville),4,168,89.4,95.42,90.14,82.64,13,2,15
Danville,1,1,84.38,76.28,90.08,86.79,14,1,15
Owensboro,3,112,83.74,81.67,86.72,82.83,13,2,15
Mayfield,1,23,81.93,78.22,88.87,78.69,13,1,13
Harrison County,3,100,81.08,80.92,86.55,75.76,12,1,13
Rockcastle County,3,140,79.24,75.77,82.53,79.43,13,1,14
Lexington Catholic,2,47,78.73,81.08,78.06,77.06,11,2,13
Beechwood,1,12,77.29,73.39,80.76,77.72,11,1,12
Paul Laurence Dunbar,4,195,75.8,84.91,79,63.49,9,4,12
Corbin,2,74,74.37,70.89,78.55,73.67,11,3,14
North Hardin,4,156,74.03,81,75.52,65.56,9,3,12
Bryan Station,4,171,73.88,84.11,73.29,64.25,7,4,11
Pikeville,1,33,73.52,63.91,80.42,76.25,12,2,14
Oldham County,4,155,73.21,77.51,76.78,65.32,9,3,12
Sheldon Clark,3,141,73.06,73.09,73.7,72.39,11,2,12
Glasgow,2,60,73.02,70.34,72.61,76.1,13,2,15
Henry Clay,4,169,72.99,76.6,76.09,66.29,9,4,13
Hopkinsville,4,182,72.89,69.67,76.89,72.1,10,4,13
Bardstown,1,3,72.24,73.05,74.26,69.4,10,3,13
Bowling Green,3,113,71.92,72.73,76.03,67,10,3,13
Green County,2,73,71.08,66.02,77.7,69.53,12,1,13
Tates Creek,4,196,70.06,70.6,71.63,67.94,9,5,13
Bellevue,1,13,69.26,68.05,71.94,67.77,11,2,12
Somerset,1,2,69.07,65.82,74.21,67.2,10,2,12
Paducah Tilghman,3,114,68.63,70.03,73.56,62.29,9,3,12
Johnson Central,4,194,67.84,60.67,79.46,63.39,11,1,11
LaRue County,2,75,67.13,67.16,67.02,67.2,10,2,12
Ryle,4,170,67.05,75.19,68.12,57.84,8,4,11
Whitley County,3,142,66.86,68.18,67.81,64.59,10,2,12
Holmes,3,101,66.71,69.75,70.48,59.9,9,3,12
Marshall County,4,184,66.65,72.71,69.92,57.33,8,4,11
Warren Central,3,115,66.54,70.06,68.91,60.67,8,4,12
Murray,1,25,65.52,63.31,69.36,63.88,10,3,13
Madison Central,4,198,65.42,72.22,66,58.04,7,5,12
Newport Central Catholic,1,15,65.4,65.42,65.49,65.29,10,5,15
Eminence,NaN,206,65.25,54.34,69.18,72.23,11,0,9
Boone County,4,173,64.72,76.63,65.55,51.98,6,4,8
DuPont Manual,4,158,64.68,75.89,66.08,52.09,7,4,11
Breckinridge County,3,125,64.24,63.38,68.17,61.17,11,2,12
East Jessamine,3,126,64.2,67.07,68.33,57.19,10,2,12
Breathitt County,2,87,63.67,58.11,66.18,66.71,9,3,12
Waggener,3,127,63.65,59.8,65.52,65.64,10,4,13
Eastern,4,172,63.43,74,64.01,52.28,7,5,12
Nelson County,4,160,62.85,69.3,61.42,57.84,6,5,11
Meade County,4,157,62.63,71.61,65.49,50.8,7,4,11
Southwestern,3,128,61.99,60.16,66.02,59.81,8,4,12
Butler,4,162,61.97,72.24,62.25,51.4,5,6,11
Madisonville-North Hopkins,4,185,61.97,65.07,64.94,55.9,8,5,13
Calloway County,3,116,61.48,69.39,62.35,52.69,7,4,11
Trigg County,1,24,61.33,60.99,67.22,55.78,10,2,12
Mason County,2,48,61.19,57.85,63.19,62.55,9,3,12
Covington Catholic,3,106,61.08,73.69,60.1,49.44,5,7,11
Russell,2,49,60.66,66.78,59.85,55.34,8,4,11
Apollo,4,183,60.5,61.9,64.28,55.33,8,3,11
Franklin County,3,102,59.77,67.2,60.27,51.85,7,4,11
Hancock County,1,27,59.65,60.47,61.76,56.71,7,4,10
Middlesboro,2,88,59.54,55.54,60.2,62.88,9,3,12
Ballard,4,175,59.36,68.58,60.01,49.48,6,5,11
Paintsville,1,35,58.46,53.01,62.07,60.31,9,4,13
Mercer County,2,50,58.21,59.1,61.91,53.63,7,4,11
Pleasure Ridge Park,4,163,58.2,73.43,51.81,49.35,4,6,10
Nicholas County,1,14,57.82,54.67,58.66,60.14,10,2,12
Greenup County,3,143,57.67,64.65,57.8,50.56,7,4,11
Simon Kenton,4,174,57.63,68.4,62.32,42.18,6,4,10
Scott County,4,177,57.47,71.24,56.18,45.01,5,6,11
Ashland Blazer,3,144,57.26,61.43,56.06,54.3,7,5,11
Prestonsburg,2,89,57.16,51.77,60.43,59.29,8,6,13
Allen County-Scottsville,3,122,56.91,64.49,60.84,45.4,3,7,5
Bourbon County,3,103,56.88,63.37,57.58,49.68,7,4,11
Franklin-Simpson,3,117,56.57,56.6,58.06,55.07,6,5,9
Daviess County,4,186,56.54,60.59,57.83,51.2,7,4,11
Boyd County,4,197,56.53,62.01,61.18,46.39,7,4,9
Belfry,2,91,56.52,53.81,59.01,56.73,7,5,11
Dixie Heights,3,105,56.34,68.07,55.27,45.68,5,6,11
Bell County,3,145,56.32,61.35,57.24,50.37,6,5,10
Campbellsville,1,5,56.11,58.12,58.98,51.22,6,5,11
Graves County,4,188,55.25,67.85,51.73,46.18,6,6,11
South Oldham,4,159,55,66.15,55.11,43.74,6,4,9
Russell County,2,77,54.59,57.68,56.35,49.74,7,5,11
Fleming-Neon,1,36,53.69,51.33,56.92,52.81,8,4,12
Harrodsburg,1,7,53.64,55.44,54.5,51,5,7,12
Western Hills,3,104,53.42,62.71,53.92,43.64,6,5,11
Ballard Memorial,1,26,52.94,53.94,56.93,47.96,8,4,10
Lawrence County,3,146,52.79,55.44,48.88,54.04,5,6,10
Hazard,1,34,51.37,42.58,55.8,55.74,9,3,12
Lincoln County,3,129,51.33,54.4,52.29,47.3,6,5,11
Fairdale,4,161,51.22,61.05,48.26,44.35,5,5,10
Union County,3,120,50.76,56.27,48.87,47.14,5,6,11
Caldwell County,2,62,50.53,51.91,50.54,49.12,7,5,12
Fleming County,2,52,50.37,56.65,50.42,44.03,6,5,11
Central,3,133,50.28,60.94,49.02,40.9,5,6,11
Lloyd Memorial,2,51,50.03,54.44,52.15,43.49,6,5,11
George Rogers Clark,4,199,49.87,58.49,53.31,37.81,5,6,11
Hopkins County Central,3,118,49.53,54.69,50.14,43.77,6,5,11
Barren County,4,187,49.53,51.27,52.54,44.78,6,5,11
Reidland,2,61,48.34,49.51,52.05,43.46,8,5,13
Moore,2,76,47.91,52.97,45.3,45.45,7,4,11
Webster County,2,63,47.52,48.7,48.3,45.55,7,5,12
Whitesburg,2,90,46.48,47.4,49.26,42.78,7,4,10
Seneca,4,176,45.92,57.47,44.12,36.17,5,6,11
Harlan,1,38,45.86,42.81,49.19,45.57,6,5,10
Washington County,2,78,45.75,48.77,44.34,44.13,6,5,11
Bullitt East,3,132,45.41,47.74,43.41,45.08,5,6,11
South Laurel,4,201,45.27,52.31,42.66,40.83,4,7,11
Monroe County,2,64,44.23,53.18,39.59,39.93,6,5,10
Russellville,1,29,43.87,50.31,41.94,39.34,5,6,11
Berea,1,17,43.58,44.17,42.71,43.85,6,5,11
Conner,3,108,43.47,63.27,37.68,29.47,3,7,9
West Jessamine,2,54,43.29,50.29,40.05,39.52,4,7,11
Crittenden County,1,28,43.12,39.15,45.04,45.17,5,6,11
Casey County,2,79,42.92,41.37,48.35,39.04,6,5,11
Kentucky Country Day,NaN,208,42.89,43.58,43.33,41.75,6,4,10
Campbell County,4,180,42.7,60.16,39.68,28.26,2,8,10
Holy Cross (Louisville),1,4,42.48,43.42,43.83,40.17,6,5,11
Clay County,4,200,42.38,44.7,45.91,36.53,5,6,11
Fern Creek,4,179,42.32,51.5,38.66,36.81,2,8,9
Central Hardin,4,166,42.26,56.07,35.98,34.74,3,7,10
Doss,4,164,42.08,55.43,41.32,29.48,4,6,10
Warren East,3,119,41.96,50.31,46.11,29.46,5,5,9
Pineville,1,37,41.14,36.61,45.5,41.32,6,5,10
Paris,1,16,41.13,46.31,42.14,34.94,6,5,11
Leslie County,2,92,40.98,39.91,40.77,42.27,5,6,11
Cawood,3,147,40.96,44.71,40.57,37.61,5,6,11
Elizabethtown,2,80,40.89,44.56,39.82,38.28,5,6,11
Taylor County,2,84,40.52,45.06,36.41,40.07,3,7,10
Pike County Central,2,93,40.34,39.85,43.72,37.44,4,6,9
Henry County,2,55,40.16,47.09,38.95,34.44,3,7,10
Wayne County,2,82,39.84,41.41,41.31,36.81,4,6,10
Jeffersontown,4,178,39.83,51.8,39.23,28.47,4,6,10
Shelby County,4,165,39.18,49.75,37.47,30.32,3,7,10
Madison Southern,3,134,39.16,46.3,40.01,31.16,5,6,11
Owensboro Catholic,2,69,39.13,48.81,31.55,37.02,3,8,10
West Carter,2,53,39.01,43.43,39.14,34.47,5,5,10
Trimble County,1,6,37.41,36.69,39.67,35.87,5,6,11
South Floyd,1,41,37.39,34.48,38.57,39.11,5,5,10
Lone Oak,3,121,37.04,41.52,41.31,28.31,4,6,10
Garrard County,2,57,36.75,46.99,31.56,31.71,2,8,10
Evarts,1,39,36.5,35.13,39.49,34.86,6,5,10
Shelby Valley,2,94,36.35,32.1,38.82,38.14,4,6,9
Bullitt Central,4,167,35.84,52.23,32.86,22.43,2,8,10
Anderson County,3,107,35.48,40.8,34.38,31.26,3,7,10
Woodford County,4,203,35.43,48.76,37.16,20.36,2,8,10
Lafayette,4,202,35.26,48.79,34.1,22.9,2,8,10
Williamsburg,1,42,34.06,38.82,31.18,32.18,4,6,8
Pulaski County,3,135,33.75,41.7,33.06,26.49,3,7,10
Greenwood,4,191,33.62,45.1,28.76,26.99,2,8,10
Cumberland,1,40,33.32,31.63,40.25,28.09,6,5,10
Christian County,4,192,33.13,49.27,28.22,21.91,1,9,9
Grant County,3,109,33.12,37.04,35.55,26.77,3,7,10
McCreary Central,3,131,32.72,31.92,37.69,28.57,5,5,10
North Bullitt,3,130,32.68,35.12,34.77,28.14,5,5,10
