name,region,rating,wins,losses,massey,colley,elo
Lynn Camp,1,44.3,6,5,39.54,47.97,45.37
Muhlenberg South,2,44,6,5,47.84,41.63,42.54
Central Hardin,4,43.99,4,6,55.92,43.92,32.12
East Jessamine,3,43.01,4,7,48.87,39,41.16
Berea,1,42.15,5,6,45.24,40.47,40.74
Pike County Central,2,42.09,6,5,38.71,47.15,40.41
Madison Southern,2,41.95,6,5,46.95,41.95,36.96
Graves County,4,41.91,3,8,57.82,36.51,31.41
Reidland,2,41.6,5,5,45.99,40.03,38.78
Bourbon County,3,41.5,5,6,49.26,36.16,39.08
Christian County,4,41.2,4,7,54.86,40.45,28.3
Bryan Station,4,40.87,1,8,49.25,35.19,38.19
Montgomery County,3,40.77,5,6,51.2,40.04,31.06
Cumberland,1,40.46,7,4,37,45.26,39.12
Ryle,4,40.15,3,7,58.65,29.67,32.12
East Carter,2,39.97,6,5,43.11,44.66,32.15
Campbellsville,1,39.74,3,7,43.45,38.53,37.23
Southern,4,39.74,4,6,52.02,43.65,23.54
Fulton City,1,39.22,4,7,51.4,39.14,27.13
Whitesburg,2,39,5,6,38.62,39.32,39.05
Harlan,1,38.53,5,5,38.14,37.21,40.23
Heath,2,38.22,4,6,42.08,37.17,35.42
Lincoln County,3,38.18,3,7,47.78,33.15,33.6
Knox Central,3,37.59,5,6,44.94,39.87,27.98
Cawood,3,37.42,3,8,41.23,37.11,33.93
Wayne County,2,36.96,3,8,46.87,33.95,30.08
Doss,3,36.67,3,7,45.74,36.13,28.14
Sheldon Clark,3,35.77,3,6,35.82,28.84,42.65
Evarts,1,35.55,5,6,38.5,35.16,32.98
Conner,4,35.55,2,8,54.79,28.99,22.87
Holy Cross (Covington),1,35.15,3,7,43.48,35.61,26.37
Waggener,3,34.93,3,7,47.77,24.25,32.78
Fort Knox,1,34.84,5,6,42.01,35.47,27.03
West Carter,2,34.14,3,7,42.72,32.42,27.28
Caldwell County,2,34.1,3,7,46.48,24.67,31.15
Western,2,34.04,5,5,40.85,41.08,20.18
Lewis County,2,33.97,3,7,37.37,32.98,31.56
Russellville,1,33.9,3,8,48.44,27.5,25.75
Carroll County,2,33.85,4,6,42.44,31.66,27.44
Breckinridge County,3,33.37,2,8,46.08,23.58,30.46
Trimble County,1,33.08,4,7,36.33,32.19,30.73
Raceland,1,33.06,5,6,41.54,32.97,24.66
Johnson Central,3,32.96,2,8,38,24.94,35.93
Henry County,2,32.74,5,5,37.01,33.35,27.87
Jeffersontown,4,32.15,2,8,44.34,34.18,17.92
John Hardin,3,32,3,7,37.91,29.03,29.05
Grayson County,4,31.9,3,7,48.91,28.37,18.42
Owen County,2,31.58,3,8,38.93,32.33,23.48
North Laurel,4,31.32,4,6,41.02,33.73,19.2
DeSales,2,31.1,3,7,45.78,29.71,17.82
Franklin County,3,31.04,3,7,37.22,25.16,30.73
South Floyd,1,30.92,4,6,26.96,32.09,33.69
Greenwood,4,30.69,1,9,48.6,25.18,18.29
South Laurel,4,30.5,1,9,40.05,27.8,23.66
Madisonville-North Hopkins,4,29.89,1,9,42.39,23.25,24.02
Williamsburg,1,29.81,3,7,34.12,27.15,28.16
Grant County,3,28.73,3,8,41.85,23.29,21.04
Frankfort,1,28.4,3,7,32.26,30.2,22.73
Perry County Central,3,27.41,3,7,37.54,27.52,17.18
Phelps,1,26.83,3,7,26.9,29.65,23.95
Edmonson County,2,26.78,4,7,34.74,24.27,21.32
Newport,2,26.25,2,8,39.4,22.58,16.78
Marion County,3,26.06,2,8,39.48,22.83,15.86
Anderson County,3,24.85,2,8,44.99,15.17,14.39
Casey County,2,24.73,2,8,33.69,18.49,22
Shelby Valley,2,24.73,1,9,31.33,20.78,22.08
Logan County,3,24.58,1,9,38.41,23,12.33
Atherton,4,24.1,1,9,40.63,24.02,7.64
Fairview,1,23.53,2,8,25.99,21,23.58
Powell County,2,23.48,3,8,29.23,20.83,20.36
Elkhorn City,1,23.4,2,8,24.19,26.64,19.39
Dayton,1,22.67,1,9,36.87,16.84,14.31
Metcalfe County,1,22.62,3,7,38.43,20.31,9.13
Western Hills,3,22.4,2,8,31.82,13.69,21.7
Adair County,2,22.38,3,7,32.58,21.55,13.02
Pineville,1,22.27,3,7,32.23,15.17,19.42
Fort Campbell,2,22.2,3,7,37.21,18.67,10.71
Scott,3,22.05,0,10,44.96,18.94,2.24
Allen Central,1,21.97,2,8,23.07,20.5,22.35
Hart County,2,21.56,3,7,35.37,15.28,14.02
Lexington Christian,1,21.45,2,8,28.33,17.24,18.79
Butler County,2,21.34,4,6,36.03,20.84,7.15
Bullitt Central,4,21.07,0,10,37.87,18.56,6.78
