name,region,id,rating,massey,colley,elo,wins,losses,games_played
Bowling Green,5,23,94.81,89.91,93.16,101.35,14,0,12
Highlands,4,98,92.96,88.52,95.46,94.9,13,2,13
Scott County,6,183,92.17,92.19,90.58,93.74,15,0,15
Male,6,130,86.04,88.69,89.33,80.12,12,2,13
Belfry,3,14,85.52,76.6,91.16,88.79,14,1,13
Mayfield,1,134,85.11,77.17,88.15,90.01,14,1,15
Collins,4,47,84.7,83.15,85.37,85.58,13,2,15
DeSales,2,56,83.35,80.48,86.4,83.18,14,1,15
Trinity (Louisville),6,205,82.72,87.7,80.48,79.98,6,6,6
Pulaski County,5,174,82.4,76.23,88.67,82.31,14,1,15
Covington Catholic,4,51,81.84,82.31,83.71,79.5,10,3,12
Simon Kenton,6,189,81.55,83.61,84.81,76.22,12,1,13
Bourbon County,3,22,80.74,80.54,83.47,78.2,13,1,14
Wayne County,3,213,80.17,76.17,83.51,80.82,14,1,15
Caldwell County,2,34,80.05,77.73,82.61,79.81,12,1,13
John Hardin,5,108,79.86,81.39,77.96,80.24,11,3,14
Johnson Central,4,109,78.56,80.61,82.49,72.57,11,1,9
Meade County,6,138,78.5,79.61,79.38,76.5,12,3,15
Boyle County,4,25,78.15,75.13,82.17,77.16,11,1,12
DuPont Manual,6,59,77.47,82.7,80.2,69.51,9,3,12
Anderson County,5,4,76.49,75.33,78.56,75.56,11,3,14
Butler,6,32,76.36,79.84,76.62,72.62,11,3,14
Central Hardin,6,42,75.78,76.47,83.27,67.59,11,2,12
Lexington Catholic,4,119,75.49,76.29,72.66,77.52,10,4,14
St. Xavier,6,198,74.5,83.03,72.89,67.6,7,5,10
Franklin County,5,75,73.8,73.81,72.6,74.98,11,2,13
Christian Academy-Louisville,2,43,72.57,71.71,78.06,67.95,10,2,12
McCracken County,6,135,72.39,81.69,72.97,62.52,9,3,11
Madison Southern,5,127,72.23,74.85,75.77,66.06,10,2,12
Mason County,3,133,72.12,67.33,79.47,69.57,12,1,13
Glasgow,2,82,70.98,71.01,74.13,67.81,10,2,12
South Warren,3,194,70.67,74.09,70.94,66.98,11,2,13
Henderson County,6,95,70.2,72.85,72.51,65.24,9,3,10
Harlan County,5,91,70.1,72.32,69.19,68.81,8,4,11
Graves County,5,84,69.61,66.95,72.54,69.34,10,3,13
Paducah Tilghman,3,161,69.34,72.86,69.1,66.07,8,6,13
Murray,2,147,68.8,68.6,68.21,69.59,9,5,14
Henry Clay,6,96,68.46,75.91,70.03,59.45,9,3,12
Russell County,4,179,68.45,68.89,66.62,69.84,10,2,12
Bullitt East,5,31,67.75,70.12,72.2,60.93,11,2,13
Dixie Heights,6,57,67.7,82.55,65.71,54.83,8,4,11
Central,3,41,67.39,65.95,64.8,71.41,9,4,13
Newport Central Catholic,2,150,66.73,65.64,63.81,70.74,10,5,15
Frankfort,1,74,66.68,61.15,67.27,71.63,11,3,14
Campbell County,6,36,66.48,70.84,66.78,61.84,8,4,12
Owensboro,4,159,66.03,67.52,66.41,64.15,10,4,14
Russellville,1,180,66.01,68.63,68.08,61.32,10,3,13
Conner,5,48,65.94,69.37,64.67,63.77,8,4,12
Williamsburg,1,220,65.67,59.94,68.29,68.77,11,3,13
Owensboro Catholic,2,160,64.82,61.52,66.45,66.48,9,3,11
Somerset,2,190,64.17,60.71,64.22,67.57,8,5,13
Bardstown,2,10,64.13,63.54,67.57,61.28,9,3,12
South Oldham,5,193,64.11,66.07,64.82,61.43,8,4,12
Warren Central,5,210,63.9,72.25,58.92,60.54,6,6,12
North Oldham,4,155,63.87,68.81,65.64,57.17,9,4,12
Pikeville,1,169,63.71,57.1,69.28,64.74,11,2,13
Ashland Blazer,4,6,63.64,59.41,67.04,64.47,8,4,10
Mercer County,4,139,63.57,62.58,66.79,61.34,8,5,13
Raceland,1,175,63.31,61.56,65.77,62.61,11,3,12
Hazard,1,94,62.59,53.15,65.48,69.15,11,2,12
Corbin,3,50,62.25,64.1,63.96,58.7,9,3,12
Bryan Station,6,29,61.19,73.01,59.48,51.06,5,6,11
Ballard,6,8,60.61,71.36,56.55,53.92,5,6,11
Monroe County,3,142,59.44,55.28,62.67,60.37,8,4,12
Union County,2,206,59.41,62.74,60.24,55.26,9,3,12
Bell County,3,15,59.38,58.58,59.02,60.55,7,5,11
Fairview,1,69,58.57,59.55,66.52,49.64,5,5,5
Beechwood,1,13,57.83,63.11,53.36,57.02,8,5,12
North Laurel,5,154,57.59,61.19,62.38,49.2,8,3,10
Lawrence County,3,115,57.11,59.07,62.11,50.13,8,4,11
Nelson County,6,148,56.11,62.9,54.08,51.35,8,4,12
Scott,5,182,56.02,65.33,56.36,46.38,7,4,10
Garrard County,3,80,55.94,55.11,58.73,53.99,7,5,12
Franklin-Simpson,4,76,55.93,58.3,55.41,54.08,8,5,12
Middlesboro,2,141,55.53,54.09,60.48,52,9,3,11
Montgomery County,5,143,55.49,60.14,55.77,50.55,6,5,11
Pike County Central,3,168,55.17,54.43,57.8,53.28,7,6,13
Russell,3,178,55.04,55.68,58.79,50.65,7,5,11
Walton-Verona,2,209,54.93,51.48,56.04,57.27,9,3,12
Paul Laurence Dunbar,6,164,54.18,67.46,52.92,42.17,6,6,12
Prestonsburg,2,173,54.04,54.7,51.27,56.13,7,6,13
Shelby County,5,186,53.68,56.54,53.69,50.8,6,5,11
Fort Campbell,3,72,53.65,60.38,51.23,49.34,5,7,11
Fern Creek,6,70,53.58,65.05,52.21,43.47,6,5,11
Pleasure Ridge Park,6,171,53.49,64.86,46.9,48.69,4,7,11
Betsy Layne,2,19,53.31,53.07,54.82,52.04,9,2,11
Gallatin County,2,79,53.14,51.76,53.93,53.73,10,3,13
Eastern,6,63,53.12,57.47,49.82,52.06,4,6,10
Daviess County,6,54,52.7,54.69,56.87,46.54,6,5,11
Madisonville-North Hopkins,4,128,52.69,60.64,50.78,46.64,6,6,12
Christian County,5,44,52.63,58.4,48.49,50.99,5,7,10
