name,region,id,rating,massey,colley,elo,wins,losses,games_played
Trinity (Louisville),6,221,108.93,110.19,112.74,103.85,14,1,12
Highlands,5,161,98.06,96.54,100.32,97.33,14,1,14
Boyle County,4,115,97.62,86.96,103.4,102.51,15,0,15
St. Xavier,6,219,93.31,90.82,98.82,90.3,10,3,12
Ryle,6,214,91.03,90.87,96.66,85.56,12,2,14
Bell County,4,112,86.49,84.88,87.56,87.04,13,1,13
Mayfield,1,29,85.18,80.22,87.55,87.78,15,0,15
Christian County,5,153,85.06,81.88,89.29,84.02,12,3,13
Simon Kenton,6,217,83.67,86.36,87.36,77.29,10,3,11
Newport Central Catholic,2,65,82.29,82.06,85.97,78.85,13,2,14
John Hardin,5,165,81.31,77.2,81.92,84.82,13,1,14
Male,6,206,80.66,80.24,82.43,79.31,11,4,13
Allen County-Scottsville,4,110,80.28,74.72,83.47,82.64,13,1,13
Johnson Central,5,166,79.77,78.94,81.96,78.4,10,3,13
Ballard,6,187,78.79,85.04,81.16,70.16,8,4,12
Bowling Green,5,151,78.71,86.84,77.75,71.54,9,3,12
Pulaski County,5,177,75.78,77,78.49,71.85,11,2,13
Warren Central,5,183,75.77,76.19,77.9,73.22,10,3,13
Lone Oak,4,134,74.6,73.62,75.93,74.26,11,2,13
DuPont Manual,6,196,74.58,79.7,77.31,66.73,6,6,11
Somerset,3,102,74.29,70.18,77.03,75.66,13,1,14
Henry Clay,6,203,74.06,79.82,71.93,70.42,9,3,12
Hazard,1,22,73.91,62.73,80.6,78.38,14,1,15
Harlan County,5,160,73.89,72.59,77.11,71.97,11,3,12
Owensboro Catholic,2,67,73.82,71.42,78.3,71.74,13,2,14
Murray,2,63,73.49,69.09,76.85,74.54,12,1,13
Henderson County,6,202,73.28,75.38,75.59,68.86,9,3,10
Scott County,6,215,72.84,75.37,69.87,73.27,10,4,14
Covington Catholic,5,155,72.39,80.79,74.61,61.79,6,6,11
Lexington Catholic,4,132,69.99,68.94,72.97,68.06,7,6,13
Knox Central,4,129,69.98,69.93,73.37,66.65,10,3,13
Paducah Tilghman,3,95,69.84,70.02,70.95,68.53,11,3,13
Dixie Heights,5,156,69.19,81.4,69,57.18,6,6,12
Danville,2,47,69.09,69.4,72.12,65.76,10,4,14
Holy Cross (Louisville),1,23,68.94,67.8,76.19,62.84,11,2,13
Mason County,3,91,68.72,64.6,73.46,68.1,10,2,12
Collins,4,119,68.32,70.82,70.58,63.56,11,2,13
Belfry,3,75,68.1,62.63,70.74,70.93,10,5,15
Lexington Christian,1,26,67.62,59.09,69.26,74.52,10,4,13
Corbin,2,46,67.32,60.75,69.42,71.81,11,3,14
Beechwood,1,3,66.82,67.08,64.67,68.71,10,4,14
Eastern,6,197,66.48,75.19,68.69,55.57,6,5,11
Western,4,147,65.4,65.46,66.28,64.47,10,4,14
Grayson County,5,159,65.3,70.29,63.8,61.8,9,3,12
Central,3,79,64.63,65.97,62.85,65.07,9,6,15
Owensboro,5,175,64.02,69.31,62.69,60.07,6,5,10
Holmes,4,127,63.82,68.94,64.35,58.18,8,3,10
Franklin-Simpson,4,124,63.01,67.22,61.1,60.71,7,5,12
Rowan County,4,141,62.6,60.32,68.1,59.37,10,2,12
Ashland Blazer,5,149,62.5,66.95,64.07,56.47,7,4,9
Union County,3,105,62.17,65.3,64.17,57.04,9,3,11
Seneca,6,216,62.1,74.16,63.22,48.93,5,6,10
Clay County,5,154,61.61,61.58,66.82,56.42,8,4,12
East Jessamine,4,121,61.34,64.38,64.65,54.99,8,4,12
Prestonsburg,2,68,61.02,54.6,62.28,66.18,10,3,12
Meade County,6,208,60.94,63.3,61.99,57.51,7,5,12
Campbell County,6,191,60.88,67.82,62.17,52.66,6,6,10
Green County,2,52,60.86,63,58.44,61.14,8,4,12
Holy Cross (Covington),2,55,60.69,65.46,60.63,55.99,7,6,12
Pleasure Ridge Park,6,213,60.53,72.22,59.09,50.3,5,6,11
Anderson County,5,148,60.4,62.44,57,61.75,9,4,13
Fort Campbell,2,49,60.17,57.6,59.45,63.46,5,7,9
Breathitt County,3,76,59.66,55.18,62.85,60.96,8,5,13
Fairview,1,16,59.48,54.16,61.96,62.32,11,2,13
Oldham County,5,174,59.29,65.06,57.35,55.46,7,5,12
Central Hardin,6,192,58.9,58.43,60.89,57.38,9,3,12
Southwestern,5,181,58.84,59.88,62.37,54.26,6,5,10
Washington County,2,73,58.76,60.72,63.29,52.28,9,2,11
West Jessamine,4,146,58.67,60.71,60.09,55.21,8,4,12
Lafayette,6,204,58.53,62.74,56.08,56.78,7,6,13
Whitley County,5,184,58.34,60.59,57.5,56.94,6,6,12
Christian Academy-Louisville,2,45,58.17,62.43,58.92,53.16,7,5,10
Lawrence County,4,131,58.01,59.05,58.71,56.28,9,3,10
DeSales,2,48,57.84,63.05,55.25,55.23,7,5,12
Pike County Central,3,96,57.73,55.09,60.17,57.92,8,2,9
Caldwell County,2,43,57.33,59.21,59.79,52.99,7,5,12
Boone County,6,188,56.82,70.16,56.2,44.1,3,7,9
Glasgow,2,51,56.48,61.09,60.08,48.27,8,3,11
Greenwood,6,201,56.14,68.79,52.18,47.45,5,5,9
Sheldon Clark,3,101,55.76,56.63,55.32,55.33,6,6,12
Conner,6,193,55.73,65.37,54.97,46.86,5,6,11
Graves County,6,200,55.41,59.08,55.41,51.75,6,6,11
North Bullitt,4,138,55.4,58.29,55.95,51.97,8,4,12
Monroe County,2,61,55.24,57.46,54.04,54.21,8,5,13
Madisonville-North Hopkins,5,169,54.57,67.32,50.87,45.5,5,6,11
Russell County,4,142,54.55,61.55,54.03,48.06,7,5,12
Russellville,3,99,54.34,54.14,51.96,56.92,9,4,13
Butler,6,190,54.25,62.09,55.89,44.79,5,6,11
Nelson County,6,210,54.21,58.58,55.86,48.19,6,5,11
George Rogers Clark,6,199,53.78,66.29,49.62,45.42,5,6,11
Perry County Central,5,176,52.97,53.83,56.87,48.21,7,4,10
Fern Creek,6,198,52.82,60.46,50.35,47.64,4,8,11
North Hardin,6,211,52.76,65.29,51.02,41.97,6,5,10
Hancock County,2,53,52.68,57.07,54.22,46.74,7,4,11
Frankfort,1,17,52.57,52.27,51.06,54.38,9,4,13
Jeffersontown,5,164,52.19,59.4,53.19,43.99,6,5,11
Tates Creek,6,220,52.19,60.26,50.62,45.7,6,5,11
Doss,5,157,51.83,55.43,52.76,47.29,6,5,11
Crittenden County,1,13,51.61,55.19,52.19,47.44,7,4,10
Russell,3,98,51.45,48.16,53.25,52.94,7,6,12
Franklin County,4,123,50.59,52.22,53.07,46.48,7,4,11
West Carter,3,108,50.43,52.84,53.62,44.82,7,4,11
Fairdale,4,122,50.36,53.19,49.82,48.07,8,4,12
Montgomery County,5,171,50.36,56.32,51.59,43.18,6,5,11
Marion County,4,136,49.96,58.66,45.06,46.15,5,6,11
Henry County,3,87,49.95,52.82,50.3,46.74,7,4,11
Ballard Memorial,1,2,49.54,53.2,50.97,44.46,6,6,12
Raceland,1,36,49.49,46.17,49.61,52.69,7,5,12
Bullitt Central,5,152,49.4,52.23,49.18,46.79,7,5,12
South Oldham,5,180,49.39,58.14,49.46,40.57,7,4,11
