name,rating,wins,losses,massey,colley,elo
Fleming County,55.0704196211111,8,4,56.9364143304711,56.1742493183423,52.10059521452
Dixie Heights,53.4449495238941,6,6,64.3854513938346,49.6957688590065,46.2536283188412
Walton-Verona,53.1950948170542,7,4,50.1051086227889,54.586951208111,54.8932246202627
Estill County,52.933478435234,9,3,45.6657331558371,56.5054524545763,56.6292496952885
Daviess County,52.9209867958335,6,5,59.0954845725391,52.5397715609028,47.1277042540584
Williamsburg,52.8278790934747,7,5,49.57650245674,53.5951263388475,55.3120084848367
Western Hills,52.6316297931561,7,4,52.2833793300269,58.7012576973963,46.9102523520452
Bishop Brossart,52.5790270472757,8,3,43.4818387216616,56.8122610991539,57.4429813210115
East Jessamine,52.5585033167864,8,4,52.7300736891914,55.3422845212095,49.6031517399583
Butler,52.5113457863932,4,7,63.7408586597299,52.0710087405765,41.7221699588731
Henry Clay,52.3608175507264,4,6,55.8158486275015,51.9479619712305,49.3186420534471
Bourbon County,52.2597606272032,6,5,55.7216907113736,52.200553127118,48.8570380431181
Garrard County,51.2382821940487,5,6,57.4787196826457,51.4956258521814,44.740501047319
North Laurel,51.0314968988578,7,5,54.0257225847884,50.5916458645322,48.4771222472527
Doss,50.6159296048439,6,6,64.4112413384798,45.354259497967,42.082287978085
Eastern,50.5636571105765,5,7,64.3743034046704,49.0556924063498,38.2609755207096
Marshall County,50.2205862835753,5,6,58.0730681689643,53.3047788049682,39.2839118767935
Allen County-Scottsville,50.1366582969467,5,7,58.1644237712601,47.9058356886127,44.3397154309674
Bryan Station,50.0308388056953,4,7,62.1719779245002,45.6121619220653,42.3083765705205
Bullitt Central,50.0274887943603,8,4,52.1308784854766,50.1641442478744,47.7874436497299
Lloyd Memorial,49.6729698208096,6,6,57.8449006738217,43.40068348488,47.773325303727
Highlands,49.6531097565902,3,8,65.2882783948484,42.3680030808736,41.3030477940486
Waggener,49.4187776417923,6,4,57.0002951156476,46.4158125661054,44.8402252436239
Fairview,49.2973429044477,5,6,43.2739661529266,52.5744291410572,52.0436334193592
Moore,48.9225609436873,7,4,51.4040159980028,52.8275265610506,42.5361402720084
Harlan County,48.8434980699833,4,7,60.1678747180376,45.8448722542816,40.5177472376307
Taylor County,48.8320270664017,7,4,56.1670717476229,49.198381432751,41.1306280188313
Henderson County,48.7959659632493,3,8,52.2949821131155,49.2129962600058,44.8799195166266
Muhlenberg County,48.7442000185334,7,4,50.7099151571711,52.4887392609555,43.0339456374736
Knox Central,47.147510176472,4,6,59.184811680395,43.0928569592664,39.1648618897545
Bracken County,46.5037125323748,8,3,40.0529487794685,54.2828974607324,45.1752913569237
Holy Cross (Louisville),46.4958283321624,7,4,46.3477818592892,46.6489264829948,46.4907766542033
Franklin County,46.4343151244253,4,7,55.0710606234684,40.8323456314819,43.3995391183256
West Carter,46.4009734414745,6,5,49.5121105461175,45.5178671783503,44.1729425999558
Campbell County,46.3421424790275,4,7,59.3166096851687,45.0397314588618,34.6700862930518
Bell County,45.637436765445,4,7,45.9432041538643,45.8895269874866,45.0795791549841
Paul Laurence Dunbar,44.9765541447854,3,7,59.9930896575869,41.3383257778889,33.5982469988805
Murray,44.1389099886668,4,6,47.5218049391543,39.0379632755473,45.8569617512988
Allen Central,44.0312719500865,8,3,37.2278843490346,47.8513900752612,47.0145414259637
Union County,43.9566799968864,6,5,50.5598278263302,39.740768860845,41.5694433034839
Calloway County,43.930210727311,7,4,46.8334832831681,46.8250836921653,38.1320652065995
Paris,43.6827470359576,5,5,37.2824402704842,42.2575099140789,51.5082909233096
McLean County,43.6399995814118,7,4,45.232853874076,44.6321523921701,41.0549924779892
Prestonsburg,43.457133856914,6,5,43.4300920855657,43.929391269446,43.0119182157304
Ballard Memorial,42.9533769842568,5,5,46.5402267779424,40.4267689844572,41.8931351903707
South Laurel,42.7919778819162,5,6,52.1883431663556,44.1542863927518,32.0333040866413
Anderson County,42.6979050000157,4,7,54.1610850176537,38.706843762828,35.2257862195654
Gallatin County,42.3796676305374,6,5,38.3977986856707,48.668474800685,40.0727294052566
Madisonville-North Hopkins,42.2834876993621,4,7,47.642387517573,39.2981697245645,39.9099058559489
Pike County Central,42.0258623430414,5,7,41.7335313995029,42.6879653893881,41.6560902402332
Bethlehem,41.8010786292828,7,5,37.8880469341692,41.7063482030433,45.8088407506359
Metcalfe County,41.3984572824699,7,4,43.9148016619108,45.3828644811679,34.897705704331
Harlan,41.0912956179811,7,4,37.530789741578,43.5601888672313,42.1829082451338
Lawrence County,40.8810500151279,4,7,45.5581356841697,35.7864175926699,41.2985967685441
Bullitt East,39.8771377148633,3,8,55.2989158393003,33.0854003179485,31.247096987341
Letcher County Central,39.8389335924052,4,6,45.8345166260413,40.3475702030551,33.3347139481193
McCreary Central,39.4950712026461,7,3,39.7749983360758,42.6682715141361,36.0419437577265
Western,39.3533803151761,4,7,52.8852462568519,34.7724176026242,30.4024770860521
Warren East,39.2280242061875,3,7,54.149441699289,35.415389659627,28.1192412596465
Meade County,39.2161442880618,2,9,59.4520557299097,30.0549562457659,28.1414208885097
LaRue County,38.0704641885916,5,6,45.7787941472531,37.0915997109375,31.3409987075841
Pineville,38.0007090937982,6,6,36.5407154629632,35.7753876559001,41.6860241625313
Harrison County,37.9976969948818,5,5,46.8432458346645,35.4809227090134,31.6689224409674
Valley,37.7915958223957,5,6,54.0544626501638,32.3419178207895,26.9784069962337
Apollo,36.6815615610398,2,8,52.9259223952168,34.065240010316,23.0535222775865
Shelby Valley,36.3281608993569,3,7,36.4852849975681,32.3370289890148,40.1621687114878
Russell County,36.0854956711931,4,7,44.2294465186406,39.001703893102,25.0253366018365
Boyd County,35.9985928604869,4,6,42.2192845405968,38.8064824982097,26.9700115426541
Edmonson County,35.8196452791232,4,6,47.6831001357623,29.1973167436793,30.5785189579278
Monroe County,35.757045900206,3,7,41.0406516344785,35.8754417069889,30.3550443591505
Fairdale,35.6073996239635,3,8,44.0405814615679,29.13049794581,33.6511194645127
Frankfort,35.1645616378219,4,8,40.7998693774905,32.3780284814184,32.3157870545569
Montgomery County,34.5059355411456,3,8,45.3936129354116,26.2220736650002,31.9021200230248
Owen County,34.4715198447228,5,5,35.2519127062701,31.5645448236189,36.5981020042794
Scott,34.3869212784348,2,9,46.6419797039444,25.259620135028,31.259163996332
Southern,34.3107312296114,4,7,49.7889266131642,29.1641550265144,23.9791120491554
Boone County,34.0356239901924,1,10,56.8411645159829,31.530551577462,13.7351558771323
Mason County,33.8156617116793,4,7,45.4997743434798,29.7460420668318,26.2011687247262
Powell County,33.5320068843004,4,7,31.9236064248811,31.7410222567361,36.9313919712841
Bath County,33.49657213654,4,7,37.6163432156564,33.2646203498781,29.6087528440855
Oldham County,33.3809596267216,3,7,48.8148853740694,29.7807485254767,21.5472449806187
Holmes,32.8276523026648,3,6,44.2682455392846,28.460477212972,25.7542341557378
Lynn Camp,32.2160851395687,6,5,32.2262286249873,34.7154915132622,29.7065352804567
Lincoln County,31.9643046485745,1,10,48.1229456567876,28.4737161452383,19.2962521436975
Campbellsville,31.9261735280092,4,7,34.8703685683253,28.7575062421275,32.1506457735748
Henry County,31.5472787713513,2,7,41.5794890929459,27.7231685948375,25.3391786262706
Breathitt County,30.963350821385,4,7,29.2836073255382,30.3890227693584,33.2174223692585
George Rogers Clark,30.4893841971909,1,10,46.486825716565,29.7781489763531,15.2031778986546
Fort Campbell,30.3350371620352,2,8,39.673186446425,28.2350567877975,23.0968682518831
Thomas Nelson,30.0134991315667,4,6,36.7388363304542,31.17540495252,22.126256111726
Trigg County,29.9381587800426,3,7,38.9348873101639,25.8660657754611,25.0135232545028
Washington County,29.6877519245706,3,8,38.9246752860151,28.1589327957596,21.9796476919372
Crittenden County,29.6420733508835,5,7,32.0209757912618,25.1889671728126,31.716277088576
Knott County Central,29.2345804685773,5,6,28.7419722941961,31.6147159415775,27.3470531699583
Woodford County,28.7439900199026,3,8,43.3522346443036,24.6039525202507,18.2757828951535
West Jessamine,28.635136459166,3,8,42.7530519074172,27.9473048120499,15.2050526580309
Clinton County,28.6210575104536,5,5,28.738164467729,25.7998747447143,31.3251333189173
Grant County,27.5993712392529,3,8,35.3285492034429,27.1651440513402,20.3044204629757
Ludlow,26.6540695602313,3,8,36.030575545955,21.1394171167228,22.7922160180162
Warren Central,26.4538167888138,0,10,36.639845622705,24.0332956056539,18.6883091380825
Hopkins County Central,26.3729110637941,4,7,32.8733192127753,29.1664535397118,17.0789604388952
Hart County,26.0931392400975,3,8,34.8432511225714,21.2291714744828,22.2069951232384
Hancock County,25.5203066818929,3,8,36.215870564383,23.9991515951603,16.3458978861355
Rowan County,24.9958637726539,2,9,33.2271372118163,20.5804828176479,21.1799712884974
Barren County,24.6335765303031,1,8,35.6691884581523,21.7025739608126,16.5289671719445
North Oldham,24.5966043464957,0,10,43.3598366195861,14.5122722690416,15.9177041508594
Ohio County,24.4628068347967,2,9,34.7306955176796,21.8057035335482,16.8520214531623
Middlesboro,24.4197198493134,1,10,35.3516187019512,23.1986987494655,14.7088420965234
Perry County Central,23.8472159488852,2,8,34.1946228157267,24.2274612721762,13.1195637587528
East Carter,23.6197543708801,2,8,33.0187802183366,25.0727905558897,12.7676923384139
Bellevue,23.3201864961966,3,8,28.841546496439,19.4184104489958,21.7006025431549
Carroll County,22.8845731763015,4,6,22.2368716702781,21.4701891304335,24.946658728193
East Ridge,22.5048511343306,4,6,18.0184270038216,20.3748075952319,29.1213188039382
Marion County,22.0763857390674,2,8,38.2304089860842,18.8048431669221,9.19390506419594
Jeffersontown,21.9591826103615,1,9,36.7638108377258,19.0206665202873,10.0930704730714
Atherton,21.7739144804146,3,7,38.9855914234439,15.8076913637734,10.5284606540265
Eminence,21.7113695732884,4,7,26.0311625397552,21.361654624269,17.7412915558409
Clay County,19.7096283991832,1,9,33.8775487675649,19.7660035104437,5.48533291954088
Pendleton County,18.6018847718434,2,8,25.2847113704098,20.0141794499793,10.5067634951412
Logan County,18.5725085984411,1,9,35.3075317733404,16.5876058700874,3.8223881518954
Grayson County,18.4224591364003,1,10,29.1237977488273,15.9618878516723,10.1816918087012
Jackson County,17.8894632272856,2,9,24.9121524163563,15.3609498934874,13.3952873720133
Webster County,17.8650164466221,2,8,25.8056957726252,15.8674565666101,11.921897000631
Green County,17.6436049651639,1,10,30.751583726572,14.490226930513,7.6890042384066
Lewis County,17.3198686548712,1,9,24.1126120992148,16.4805019208444,11.3664919445544
Fulton City,16.482293141653,1,9,12.1205739715058,16.238608202692,21.0876972507611
Magoffin County,15.4627383007285,2,8,18.5192775766736,13.0216688841787,14.8472684413332
Breckinridge County,14.8240471683723,2,9,25.4286153621914,10.6509683136742,8.39255782925119
Iroquois,12.4486055429935,1,9,29.7090310647929,1.56553285789989,6.07125270628779
Dayton,10.1628565283513,2,9,19.2407490763853,7.88997601776986,3.35784449089863
Newport,9.55315817203218,1,10,17.1407925965153,4.2711332093112,7.24754871027006
Jenkins,8.49662199221655,1,10,8.04110916177325,10.7475115494701,6.70124526540634
Morgan County,8.09848285963561,1,9,12.4686566426865,2.77984374470051,9.04694819151978
Todd County Central,7.55939649205898,0,10,20.6976591683151,-0.494677978975868,2.47520828683774
South Floyd,5.34724280601665,0,11,4.61029787068242,6.78134263294573,4.65008791442179
Fulton County,5.04531430086648,0,9,4.01197748856014,3.11299436305234,8.01097105098697
Trimble County,4.81733760306463,1,9,10.1348751228355,2.60519550794441,1.71194217841395
Caverna,3.47867565200983,0,11,14.574252230769,-1.55618318805402,-2.5820420866855
Berea,3.14726278025937,0,10,3.48781816692113,5.08420781598072,0.869762357876257
Fort Knox,2.65847259291654,2,9,9.09542529202158,-2.0476996908536,0.927692177581641
Betsy Layne,2.28261416460402,1,9,-0.172141918655785,1.02426260313317,5.99572180933467
